"DQN,Training Steps:5000000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
"DQN,Training Steps:5000000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
"A2C,Training Steps:5000000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
15,9,4,11,15,12,7,12,13,13,6,14,13,11,22,10,16,13,14,9,16,11,16,14,9,13,14,12
10.91,-1.4,-11.74,2.75,10.92,4.89,-5.54,4.58,6.86,6.74,-7.63,8.74,6.83,2.79,25.55,0.42,12.88,6.52,8.91,-1.41,12.95,2.91,13.02,8.81,-1.58,6.85,8.73,4.91
191.05,194.08,197.49,192.59,190.94,191.18,195.43,194.32,191.55,192.72,196.31,192.77,191.84,192.23,184.69,195.89,191.41,194.94,191.05,194.23,190.63,191.0,189.96,192.09,195.85,191.63,192.87,191.04
"A2C,Training Steps:5000000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
6,10,10,14,15,14,8,16,15,19,13,14,14,11,14,20,15,16,11,24,12,15,10,13,11,16,17,12
-7.48,0.79,0.61,8.83,10.66,8.91,-3.65,13.1,11.08,19.17,6.76,8.74,8.77,2.75,8.76,21.11,10.84,12.9,2.8,29.36,4.49,10.74,0.62,6.96,2.52,12.75,14.99,4.8
194.9,192.19,194.03,191.82,193.53,191.03,196.61,189.15,189.3,188.49,192.52,192.76,192.45,192.57,192.57,189.09,191.74,191.14,192.11,186.68,195.19,192.73,193.94,190.57,194.95,192.64,190.31,192.16
"ACKTR,Training Steps:5000000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
13,15,8,9,7,13,3,1,12,6,12,2,4,18,10,12,6,12,5,16,0,0,0,0,0,0,0,0
6.59,10.88,-3.34,-1.35,-5.43,6.75,-13.87,-17.98,4.62,-7.7,5.06,-15.84,-11.72,16.72,0.46,4.56,-7.82,4.9,-9.56,13.03,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
194.26,191.38,193.45,193.62,194.33,192.65,198.75,199.8,193.93,197.07,189.5,198.41,197.24,192.95,195.49,194.56,198.28,191.15,195.64,189.89,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
"ACKTR,Training Steps:5000000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
21,10,8,16,10,16,5,11,14,1,8,0,13,10,4,4,8,6,3,5,11,0,14,0,0,0,0,0
23.66,0.76,-3.42,13.11,0.61,13.06,-9.62,2.75,8.69,-17.96,-3.69,-20.0,6.89,0.43,-11.74,-11.57,-3.43,-7.58,-13.74,-9.64,2.67,-20.0,8.89,-20.0,-20.0,-20.0,-20.0,-20.0
183.6,192.51,194.27,189.06,194.02,189.56,196.28,192.63,193.28,199.63,196.98,200.0,191.19,195.76,197.45,195.73,194.34,195.83,197.47,196.46,193.43,200.0,191.23,200.0,200.0,200.0,200.0,200.0
