"DQN,Training Steps:2500000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DQN,Training Steps:2500000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"A2C,Training Steps:2500000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
5,3,6,15,3,3,4,5,12,9,7,6,10,2,12,8,10,10,8,6,8,0,9,10,9,10,4,6
-4.85,-6.91,-3.92,5.41,-6.92,-6.89,-5.87,-4.74,2.37,-0.82,-2.87,-3.82,0.2,-7.92,2.46,-1.68,0.28,0.4,-1.81,-3.69,-1.76,-10.0,-0.73,0.32,-0.75,0.26,-5.9,-3.89
98.57,99.11,99.27,96.04,99.19,98.94,98.7,97.49,96.4,98.27,98.8,98.28,98.08,99.23,95.55,96.9,97.33,96.11,98.14,97.0,97.68,100.0,97.37,96.93,97.58,97.48,98.99,98.91
"A2C,Training Steps:2500000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
7,8,7,5,7,5,9,14,7,3,10,3,3,9,10,8,7,6,13,9,3,4,9,7,9,10,5,12
-2.82,-1.81,-2.79,-4.87,-2.85,-4.89,-0.8,4.44,-2.66,-6.9,0.3,-6.9,-6.88,-0.76,0.27,-1.81,-2.74,-3.79,3.49,-0.71,-6.85,-5.93,-0.68,-2.88,-0.76,0.33,-4.89,2.49
98.25,98.15,97.93,98.79,98.62,98.93,98.14,95.73,96.71,98.98,97.09,99.04,98.85,97.73,97.45,98.15,97.5,97.94,95.21,97.19,98.54,99.33,96.94,98.9,97.69,96.77,98.92,95.22
"ACKTR,Training Steps:2500000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000
6,4,8,6,0,5,6,2,3,2,3,7,0,2,5,0,0,10,10,16,0,0,2,1,0,0,0,0
-3.85,-5.88,-1.84,-3.87,-10.0,-4.96,-3.86,-7.91,-6.91,-7.89,-6.91,-2.83,-10.0,-7.97,-4.79,-10.0,-10.0,0.33,0.36,6.43,-10.0,-10.0,-7.96,-8.99,-10.0,-10.0,-10.0,-10.0
98.56,98.8,98.49,98.75,100.0,99.61,98.61,99.15,99.14,98.9,99.16,98.35,100.0,99.69,97.92,100.0,100.0,96.81,96.47,95.87,100.0,100.0,99.63,99.86,100.0,100.0,100.0,100.0
"ACKTR,Training Steps:2500000, NumFrames:5"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000
6,11,4,11,1,2,1,7,3,9,4,5,5,0,0,7,1,0,8,0,0,0,0,0,0,0,0
-3.78,1.3,-5.92,1.25,-8.98,-7.95,-8.94,-2.86,-6.98,-0.73,-5.86,-4.87,-4.89,-10.0,-10.0,-2.88,-9.0,-10.0,-1.63,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
97.81,97.11,99.28,97.61,99.81,99.48,99.38,98.69,99.81,97.35,98.59,98.79,98.99,100.0,100.0,98.87,99.99,100.0,96.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
